"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Trade","0","USD","0.27006675","USDLOSS","0","USD","ftx","703267337-2","","ftx","","2021-10-07T04:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.45715758","USDLOSS","0","USD","ftx","703437136-2","","ftx","","2021-10-07T05:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.45715758","USDLOSS","0.45715758","USD","0","USD","ftx","703437136-1","","ftx","","2021-10-07T05:00:00.000Z","kr 4,05","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.46853171","USDLOSS","0","USD","ftx","703609106-2","","ftx","","2021-10-07T06:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.46853171","USDLOSS","0.46853171","USD","0","USD","ftx","703609106-1","","ftx","","2021-10-07T06:00:00.000Z","kr 4,15","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.63915906","USDLOSS","0","USD","ftx","703786027-2","","ftx","","2021-10-07T07:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.63915906","USDLOSS","0.63915906","USD","0","USD","ftx","703786027-1","","ftx","","2021-10-07T07:00:00.000Z","kr 5,67","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.96570414","USDLOSS","0","USD","ftx","703960748-2","","ftx","","2021-10-07T08:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.96570414","USDLOSS","0.96570414","USD","0","USD","ftx","703960748-1","","ftx","","2021-10-07T08:00:00.000Z","kr 8,56","2022-03-27T20:43:38.428Z"
"Trade","0.69978426","USDLOSS","0.69978426","USD","0","USD","ftx","704140365-1","","ftx","","2021-10-07T09:00:00.000Z","kr 6,20","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.69978426","USDLOSS","0","USD","ftx","704140365-2","","ftx","","2021-10-07T09:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.66024574","USDLOSS","0","USD","ftx","704318589-2","","ftx","","2021-10-07T10:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.66024574","USDLOSS","0.66024574","USD","0","USD","ftx","704318589-1","","ftx","","2021-10-07T10:00:00.000Z","kr 5,85","2022-03-27T20:43:38.428Z"
"Trade","0.83606552","USDLOSS","0.83606552","USD","0","USD","ftx","704497252-1","","ftx","","2021-10-07T11:00:00.000Z","kr 7,41","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.83606552","USDLOSS","0","USD","ftx","704497252-2","","ftx","","2021-10-07T11:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0","USD","1.14929889","USDLOSS","0","USD","ftx","704675208-2","","ftx","","2021-10-07T12:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","1.14929889","USDLOSS","1.14929889","USD","0","USD","ftx","704675208-1","","ftx","","2021-10-07T12:00:00.000Z","kr 10,19","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.5989762","USDLOSS","0","USD","ftx","704857379-2","","ftx","","2021-10-07T13:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.5989762","USDLOSS","0.5989762","USD","0","USD","ftx","704857379-1","","ftx","","2021-10-07T13:00:00.000Z","kr 5,31","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.74682482","USDLOSS","0","USD","ftx","705037976-2","","ftx","","2021-10-07T14:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.74682482","USDLOSS","0.74682482","USD","0","USD","ftx","705037976-1","","ftx","","2021-10-07T14:00:00.000Z","kr 6,62","2022-03-27T20:43:38.428Z"
"Trade","0.47156379","USDLOSS","0.47156379","USD","0","USD","ftx","705217265-1","","ftx","","2021-10-07T15:00:00.000Z","kr 4,18","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.47156379","USDLOSS","0","USD","ftx","705217265-2","","ftx","","2021-10-07T15:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.47675592","USDLOSS","0","USD","ftx","705397015-2","","ftx","","2021-10-07T16:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0.47675592","USDLOSS","0.47675592","USD","0","USD","ftx","705397015-1","","ftx","","2021-10-07T16:00:00.000Z","kr 4,23","2022-03-27T20:43:38.428Z"
"Trade","0.85683865","USDLOSS","0.85683865","USD","0","USD","ftx","705576696-1","","ftx","","2021-10-07T17:00:00.000Z","kr 7,60","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.85683865","USDLOSS","0","USD","ftx","705576696-2","","ftx","","2021-10-07T17:00:00.000Z","","2022-03-27T20:43:38.428Z"
"Trade","0","USD","0.91299206","USDLOSS","0","USD","ftx","705754821-2","","ftx","","2021-10-07T18:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.91299206","USDLOSS","0.91299206","USD","0","USD","ftx","705754821-1","","ftx","","2021-10-07T18:00:00.000Z","kr 8,09","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.85543585","USDLOSS","0","USD","ftx","705936705-2","","ftx","","2021-10-07T19:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.85543585","USDLOSS","0.85543585","USD","0","USD","ftx","705936705-1","","ftx","","2021-10-07T19:00:00.000Z","kr 7,58","2022-03-27T20:43:38.361Z"
"Deposit","100","MATIC","0","","0","","binance","0xb4afca42a8fbd76fe5c857093cf57ea90b4fed8475fb98a0126f869c5b88c7cf","","binance","","2021-10-07T19:47:58.000Z","kr 1 116,33","2021-11-27T15:39:19.440Z"
"Trade","0","USD","1.37329218","USDLOSS","0","USD","ftx","706113492-2","","ftx","","2021-10-07T20:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","1.37329218","USDLOSS","1.37329218","USD","0","USD","ftx","706113492-1","","ftx","","2021-10-07T20:00:00.000Z","kr 12,18","2022-03-27T20:43:38.361Z"
"Trade","1.1038359","USDLOSS","1.1038359","USD","0","USD","ftx","706296293-1","","ftx","","2021-10-07T21:00:00.000Z","kr 9,79","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.1038359","USDLOSS","0","USD","ftx","706296293-2","","ftx","","2021-10-07T21:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Withdrawal","0","","0.09","AVAX","0.01","AVAX","binance","5e60991e2c314bf49652d0ec0b7b4933","","binance","","2021-10-07T21:08:06.000Z","","2021-11-27T15:39:21.152Z"
